//Reference=MNI152		
//Abraham et al., 2012; divergent thinking contrast (Table S1)		
// Subjects=19		
-17.01	56.36	9.35
-16.82	30.03	44.45
-48.61	13.71	-10.85
-35.98	16.15	-24.41
-1.19	38.71	-22.83
-10.61	51.13	26.32
2.28	-2.14	33.22
27.54	-14.83	-22.66
-19.92	-33.74	-14.43
24.5	-45.97	-13.85
-23.05	-46.57	-16.86
-7.09	-40.24	32.56
11.93	-60.62	7.2
-10.28	-57.85	3.81
-26.4	-13.15	-39.11
-54.86	-18.47	-18.6
-51.54	-52.71	-9.61
-38.65	-74.97	38.45
12.08	-98.44	9.79
-7.03	-80.09	1.99
-25.9	-93.78	39.66
-4.08	-16.63	4.28
-48.34	-69.25	-21.82
34.14	-90.83	-24.16
-32.55	-22.15	21.48
-35.93	-3.37	-33.06
-35.95	-7.33	-46.11
37.12	-16.28	4.02
24.55	-34.49	18.66
40.07	12.82	-37.95
30.62	-13.48	-52.74
8.63	-67.25	-48.93
-32.45	-26.83	48.43
-26.03	-31.66	72.03
21.47	-28.93	58.25
		
//Asari et al., 2008; unique answers > frequent answers to inkblot pictures		
//Subjects=68		
-2	22	-24
-8	62	10
-42	-80	36
32	18	-24
		
//Aziz-Zadeh et al., 2009; anagram: aha > no-aha		
//Subjects=10		
-54	20	0
40	44	0
-6	26	44
38	12	-14
-48	-52	24
58	-52	36
42	6	-40
-6	-20	-26
		
//Aziz-Zadeh et al., 2013; creative > control		
//Subjects=13		
-2	20	56
-8	66	24
-20	38	52
-24	46	22
-42	12	26
-38	28	-20
-46	26	-6
-50	-74	26
-44	-68	42
-56	-46	2
		
//Bechtereva et al., 2004; study 2 - Create stories from 16 remotely associated words > memorize words		
//Subjects=16		
-56	-52	34
-40	12	52
-40	12	52
-42	38	-10
-32	-80	36
-8	34	30
-8	22	36
		
//Bengtsson et al., 2007; music improvisation > play from memory		
//Subjects=11		
36.91	45.87	20.5
-24.27	19.11	47.72
-27.33	17.16	61.42
-33.77	4.37	62.79
30.83	19.31	46.77
11.46	19.86	53.76
-34.04	8.88	42.18
-37.22	2.8	46.2
-63.42	-38.69	17.13
49.7	-53.86	-13.55
-37.28	-79.77	24.11
-27.82	-91.49	1.58
43.58	-80.73	9.38
43.5	-84.54	3.04
		
//Berkowitz and Ansari, 2008; melodic improvisation > pattern sequence		
//Subjects=13		
0.34	27.32	30.8
0.59	11.65	46.92
-49.45	11.11	20.93
-19.9	8.6	49.81
26.53	1.96	45.19
67.31	-41.53	14.06
-19.39	-64.63	-10.19
39.86	50.29	-1.28
17.15	69.77	1.67
-4.82	-35.45	37.1
13.61	-32.74	42.12
-61.05	-43.72	32.16
50.22	-44.49	29.22
//Berkowitz and Ansari, 2008; rhythmic improvisation > metronome		
//Subjects=13		
-1.79	25.29	32.16
-8.15	4.31	37.71
-35.56	34.04	12.82
-16.74	7.99	43.09
-25.3	-8.96	46.04
-19.67	-57.55	54.11
-37.15	-37.17	43.43
		
//Cardillo et al., 2012; metaphor comprehension: novel > familiar		
//Subjects=20		
-54	25	10
56	27	16
-57	-41	10
33	-92	-5
		
//Chrysikou and Thompson-Schill 2011; uncommon uses for daily objects: unusal > usual		
//Subjects=24		
-23.91	-66.1	-25.65
33.45	-58.59	-17.29
-29.96	-89.16	3.63
		
//De Manzano et al., 2012; musicians: music improvisation > sight reading		
//Subjects=18		
10	26	34
-42	26	26
54	14	10
-44	14	-2
48	16	-2
-2	8	58
-42	-66	-36
28	-68	-32
		
//Ellamil et al., 2012; generate > evaluate		
//Subjects=15		
-26	-2	56
28	2	52
-50	38	12
-28	-52	64
32	-48	64
-48	-36	44
40	-42	44
-32	-40	-4
36	-26	-12
-30	-34	-20
34	-38	-16
-50	-52	-12
40	-68	-4
-30	-80	36
46	-76	24
-14	-72	-48
		
//Fink et al., 2010; alternate uses task > object characteristics		
// Subjects=31		
-60	-27	36
		
//Fink et al., 2009; alternate uses task > object characteristics		
// Subjects=21		
36	-58	48
//Fink et al., 2009; alternate uses task > fixation		
// Subjects=21		
-20	32	22
36	-66	-26
22	-94	-8
-50	-48	-18
36	-40	0
-20	-94	-12
-24	-68	46
-42	-38	44
28	-70	4
-10	-22	20
		
//Geake and Hansen., 2005; high semantic distance > low semantic distance		
//Subjects=12		
-26	22	44
-30	24	44
-50	44	-10
48	48	-12
-46	18	14
52	22	20
-44	50	2
48	46	8
-4	24	40
6	22	42
0	-60	48
-34	-62	44
30	-60	44
-16	-92	-18
20	-86	-10
		
//Goel and Vartanian, 2005; match problems: conjunction of (match problems - baseline) and (successful trial - unsuccesful trial) 		
//Subjects=13		
34	16	-16
-28	40	28
-18	56	12
		
//Green et al., 2012; analogical reasoning: generation > rest 		
// Subjects=23		
-8.48	62.08	24.15
-57.13	-27.05	3.55
-6.99	42.13	51.88
-43.61	48.98	-22.14
51.39	-87.55	27.85
0.4	20.08	33.76
-11.2	-80.66	36.08
31.21	-84.41	-29.26
64.43	-68.38	36.94
-43.45	-74.11	50.55
//Green et al., 2012; analogical reasoning: more remote > less remote 		
//Subjects=23		
-5.21	65.59	27.11
-0.38	28.85	58.68
-59.01	-59.95	19.16
12.89	17.66	-4.31
-8.72	17.58	-3.94
		
//Howard-Jones et al., 2005; creative > uncreative		
//Subjects=8		
16.83	47.12	8.67
20.1	32.41	26.31
-14.74	25.81	26.97
23.67	-84.07	18.73
		
//Huang et al., 2012; creative > uncreative		
//Subjects=28		
-24	26	-20
-42	23	19
15	-100	13
		
//Jung-Beeman et al., 2004; aha > no aha		
//Subjects=18		
47.34	-7.17	-19.25
50.75	32.35	1.43
-48.57	29.33	9.03
-20.68	51.99	-2.65
-8.16	-57.02	24.73
-16.35	-1.56	-13.12
12.75	-11.86	-21.56
		
//Kounios et al., 2006; insight preparation > noninsight preparation		
//Subjects=25		
-51.44	-63.11	19.34
-3.34	45.88	-0.1
-1.57	-45.22	35.77
57.6	-63.35	10.79
-26.07	-7.02	-13.53
-65.9	-33.44	-6.88
		
//Kowatari et al., 2009; expert design > baseline		
//Subjects=20		
-30.39	-63.65	-18.98
-27.06	-83.65	15.67
30.04	-75.25	41.39
39.32	-56.76	-19.86
-17.8	-27.86	-4.86
48.68	18.85	24.85
36.35	-51.91	59.74
45.61	7.64	48.94
26.59	-27.08	1.49
20.24	-30.69	-4.89
-36.85	9.09	32.68
		
//Kowatari et al., 2009; novice design > baseline		
//Subjects=20		
36.21	-72.34	-15.45
-30.42	-53.99	-16.31
48.71	12.75	28.6
-14.61	-30.78	-1.34
-1.96	13.54	48.82
-40.02	5.71	29.6
-39.91	-8.83	50.58
48.8	4.72	52.46
		
//Kroger et al., 2012; high semantic distance > low semantic distance (whole brain) + appropriateness		
//Subjects=26		
-36	35	4
-45	11	16
51	38	4
27	29	-11
-27	23	-14
51	26	1
-9	23	46
-21	14	52
-9	26	22
-9	29	28
-6	32	31
9	-13	-8
-9	-5	-1
-6	-10	-8
-6	-55	22
-6	44	34
-9	53	31
3	35	7
-3	44	10
-60	-7	-20
-60	-16	-11
-63	-10	-14
-54	-16	-20
57	-58	28
-54	-64	28
		
//Limb and Braun, 2006; conjunction of scale improvisation and jazz improvisation		
//Subjects=6		
-51	33	3
-52	8	17
-54	0	30
-30	-15	64
-3	0	63
-27	-15	54
-63	-27	-9
-51	-15	-24
-48	-66	-21
-53	-41	41
-42	-45	45
-18	-75	51
-36	-90	-5
-27	-94	14
-21	-94	29
-5	8	49
51	6	27
30	-6	63
3	-4	68
27	-9	51
63	-33	9
57	-21	-9
45	-15	-18
48	-41	41
45	-42	51
21	-77	55
36	-75	15
35	-83	25
21	-63	-30
3	-78	-39
6	-67	-17
-11	-6	-9
-24	0	-18
-24	-36	-3
-36	-27	-21
-3	-51	24
-30	3	-24
-30	-12	-9
-12	15	11
-29	-3	6
-33	15	-11
-33	-24	9
-51	-57	18
-45	-69	30
9	-6	-6
28	-1	-16
27	-24	-18
15	-42	3
24	-27	-24
3	-57	30
33	0	-39
27	6	-9
9	15	3
27	-15	6
33	15	12
33	0	12
42	-11	7
51	-54	24
		
//Luo et al., 2004b; Insight problem: aha > no aha		
//Subjects=11		
1.5	23.49	35.65
12.49	10.74	47.93
10.15	20.32	35.81
-42.14	19.05	2.09
-46.34	7.96	9.98
-44.03	11.24	21.95
-43.8	9.71	40.02
-37.32	18.45	41.29
-58.17	-60.65	0.16
-22.03	9.86	51.96
-26.22	-66.81	47.29
-17.85	23.08	43.86
		
//Mashal et al., 2007; novel > conventional metaphor		
//Subjects=15		
53.01	-28.89	2.57
50.75	24.7	16.67
-46.5	35.58	18.72
		
//Qiu et al., 2010; chinese logogriphs: aha > no aha		
//Subjects=16		
37.47	-68.06	41.85
37.6	-67.13	51.84
34.32	-57.57	50.95
-30.63	-68.62	39.7
-30.54	-58.11	48.75
-17.45	-70.2	56.44
24.07	-97.69	1.31
36.91	-98.57	-8.91
40.35	-97.01	7.69
-31.07	-98.19	-1.06
-21.34	-101.35	-0.92
-47.52	-70.47	-13.61
-47.19	10.78	28.77
-53.66	20.64	31.26
-33.86	6.94	55.81
43.08	-74.58	-28.2
30.05	-68.56	-31.93
-2.29	-87.82	-29.47
10.75	-83.96	-23.36
		
//Rutter et al., 2012; high semantic distance > low semantic distance + high appropriateness > low appropriateness		
//Subjects=27		
-48	17	4
60	17	4
-24	20	1
-36	29	-8
-33	50	13
-30	53	19
-48	20	-14
		
//Seger et al., 2000; Noun-verb generation: novel > repeated		
//Subjects=7		
-50.43	19.49	30.2
-58.21	23.33	14.27
-41.75	36.2	36.25
-12.66	-6.94	20.97
-46.79	-53.4	-37.73
4.24	-92.91	-26.84
7.6	-94.19	-17.81
37.52	-51.72	-35.97
23.61	-38.72	-22.45
32.32	-60.07	-21.6
//Seger et al., 2000; Noun-verb generation: unusual > first associate		
//Subjects=7		
34.87	35.85	28.25
23.99	51.66	25.75
22.7	53.39	9.91
